kernel,plan_id,isa,reduction,unroll,tail,control,size,distribution,correct,median_ns,speedup_vs_orig
k18_all_equal,0,Scalar,ScalarLoop,U1,Scalar,FullReduction,64,random,1,1.5,0.567
k18_all_equal,0,Scalar,ScalarLoop,U1,Scalar,FullReduction,256,random,1,1.5,0.110
k18_all_equal,0,Scalar,ScalarLoop,U1,Scalar,FullReduction,4096,random,1,1.5,0.007
k18_all_equal,0,Scalar,ScalarLoop,U1,Scalar,FullReduction,65536,random,1,1.5,0.000
k18_all_equal,0,Scalar,ScalarLoop,U1,Scalar,FullReduction,64,all_equal,1,6.7,2.619
k18_all_equal,0,Scalar,ScalarLoop,U1,Scalar,FullReduction,256,all_equal,1,25.3,1.907
k18_all_equal,0,Scalar,ScalarLoop,U1,Scalar,FullReduction,4096,all_equal,1,409.4,1.967
k18_all_equal,0,Scalar,ScalarLoop,U1,Scalar,FullReduction,65536,all_equal,1,6476.0,1.951
k18_all_equal,1,Scalar,ScalarLoop,U2,Scalar,FullReduction,64,random,1,1.4,0.560
k18_all_equal,1,Scalar,ScalarLoop,U2,Scalar,FullReduction,256,random,1,1.5,0.110
k18_all_equal,1,Scalar,ScalarLoop,U2,Scalar,FullReduction,4096,random,1,1.4,0.007
k18_all_equal,1,Scalar,ScalarLoop,U2,Scalar,FullReduction,65536,random,1,1.4,0.000
k18_all_equal,1,Scalar,ScalarLoop,U2,Scalar,FullReduction,64,all_equal,1,6.7,2.629
k18_all_equal,1,Scalar,ScalarLoop,U2,Scalar,FullReduction,256,all_equal,1,25.1,1.892
k18_all_equal,1,Scalar,ScalarLoop,U2,Scalar,FullReduction,4096,all_equal,1,407.6,1.952
k18_all_equal,1,Scalar,ScalarLoop,U2,Scalar,FullReduction,65536,all_equal,1,6446.4,1.941
k18_all_equal,2,Scalar,ScalarLoop,U4,Scalar,FullReduction,64,random,1,1.5,0.537
k18_all_equal,2,Scalar,ScalarLoop,U4,Scalar,FullReduction,256,random,1,1.5,0.109
k18_all_equal,2,Scalar,ScalarLoop,U4,Scalar,FullReduction,4096,random,1,1.5,0.007
k18_all_equal,2,Scalar,ScalarLoop,U4,Scalar,FullReduction,65536,random,1,1.5,0.000
k18_all_equal,2,Scalar,ScalarLoop,U4,Scalar,FullReduction,64,all_equal,1,6.7,2.623
k18_all_equal,2,Scalar,ScalarLoop,U4,Scalar,FullReduction,256,all_equal,1,24.9,1.870
k18_all_equal,2,Scalar,ScalarLoop,U4,Scalar,FullReduction,4096,all_equal,1,407.7,1.957
k18_all_equal,2,Scalar,ScalarLoop,U4,Scalar,FullReduction,65536,all_equal,1,6448.9,1.944
k18_all_equal,3,SSE2,MovemaskPopcount,U1,Scalar,FullReduction,64,random,1,1.5,0.572
k18_all_equal,3,SSE2,MovemaskPopcount,U1,Scalar,FullReduction,256,random,1,1.5,0.112
k18_all_equal,3,SSE2,MovemaskPopcount,U1,Scalar,FullReduction,4096,random,1,1.5,0.007
k18_all_equal,3,SSE2,MovemaskPopcount,U1,Scalar,FullReduction,65536,random,1,1.5,0.000
k18_all_equal,3,SSE2,MovemaskPopcount,U1,Scalar,FullReduction,64,all_equal,1,1.5,0.587
k18_all_equal,3,SSE2,MovemaskPopcount,U1,Scalar,FullReduction,256,all_equal,1,2.4,0.181
k18_all_equal,3,SSE2,MovemaskPopcount,U1,Scalar,FullReduction,4096,all_equal,1,40.6,0.194
k18_all_equal,3,SSE2,MovemaskPopcount,U1,Scalar,FullReduction,65536,all_equal,1,660.8,0.199
k18_all_equal,4,SSE2,MovemaskPopcount,U1,Scalar,EarlyExit,64,random,1,1.5,0.545
k18_all_equal,4,SSE2,MovemaskPopcount,U1,Scalar,EarlyExit,256,random,1,1.5,0.112
k18_all_equal,4,SSE2,MovemaskPopcount,U1,Scalar,EarlyExit,4096,random,1,1.5,0.007
