kernel,distribution,size,variant,median_ns
k18_all_equal,all_equal,16,orig_O3,1.5
k18_all_equal,all_equal,16,absac,1.5
k18_all_equal,all_equal,16,witness_avx2,1.5
k18_all_equal,all_equal,32,orig_O3,1.9
k18_all_equal,all_equal,32,absac,1.5
k18_all_equal,all_equal,32,witness_avx2,1.5
k18_all_equal,all_equal,64,orig_O3,3.5
k18_all_equal,all_equal,64,absac,1.5
k18_all_equal,all_equal,64,witness_avx2,1.5
k18_all_equal,all_equal,128,orig_O3,6.7
k18_all_equal,all_equal,128,absac,1.4
k18_all_equal,all_equal,128,witness_avx2,1.4
k18_all_equal,all_equal,256,orig_O3,13.1
k18_all_equal,all_equal,256,absac,2.1
k18_all_equal,all_equal,256,witness_avx2,2.1
k18_all_equal,all_equal,512,orig_O3,26.1
k18_all_equal,all_equal,512,absac,3.7
k18_all_equal,all_equal,512,witness_avx2,4.0
k18_all_equal,all_equal,1024,orig_O3,53.2
k18_all_equal,all_equal,1024,absac,9.9
k18_all_equal,all_equal,1024,witness_avx2,8.3
k18_all_equal,all_equal,2048,orig_O3,104.6
k18_all_equal,all_equal,2048,absac,22.6
k18_all_equal,all_equal,2048,witness_avx2,21.9
k18_all_equal,all_equal,4096,orig_O3,208.3
k18_all_equal,all_equal,4096,absac,36.3
k18_all_equal,all_equal,4096,witness_avx2,36.2
k18_all_equal,all_equal,8192,orig_O3,415.6
k18_all_equal,all_equal,8192,absac,63.4
k18_all_equal,all_equal,8192,witness_avx2,63.6
k18_all_equal,all_equal,16384,orig_O3,830.8
k18_all_equal,all_equal,16384,absac,115.8
k18_all_equal,all_equal,16384,witness_avx2,116.1
k18_all_equal,all_equal,65536,orig_O3,3325.6
k18_all_equal,all_equal,65536,absac,611.5
k18_all_equal,all_equal,65536,witness_avx2,611.3
k18_all_equal,random,16,orig_O3,1.5
k18_all_equal,random,16,absac,1.5
k18_all_equal,random,16,witness_avx2,1.5
k18_all_equal,random,32,orig_O3,1.9
k18_all_equal,random,32,absac,1.5
k18_all_equal,random,32,witness_avx2,1.5
k18_all_equal,random,64,orig_O3,3.5
k18_all_equal,random,64,absac,1.5
k18_all_equal,random,64,witness_avx2,1.5
k18_all_equal,random,128,orig_O3,6.7
k18_all_equal,random,128,absac,1.5
k18_all_equal,random,128,witness_avx2,1.5
k18_all_equal,random,256,orig_O3,13.2
k18_all_equal,random,256,absac,1.5
k18_all_equal,random,256,witness_avx2,1.5
k18_all_equal,random,512,orig_O3,26.0
k18_all_equal,random,512,absac,1.5
k18_all_equal,random,512,witness_avx2,1.5
k18_all_equal,random,1024,orig_O3,53.2
k18_all_equal,random,1024,absac,1.5
k18_all_equal,random,1024,witness_avx2,1.5
k18_all_equal,random,2048,orig_O3,104.4
k18_all_equal,random,2048,absac,1.5
k18_all_equal,random,2048,witness_avx2,1.5
k18_all_equal,random,4096,orig_O3,208.5
k18_all_equal,random,4096,absac,1.5
k18_all_equal,random,4096,witness_avx2,1.5
k18_all_equal,random,8192,orig_O3,416.1
k18_all_equal,random,8192,absac,1.5
k18_all_equal,random,8192,witness_avx2,1.5
