kernel,distribution,size_bytes,candidate,correct,median_ns,min_ns,mad_ns,ci_lo_ns,ci_hi_ns,cycles_per_elem,speedup_vs_orig
k18_all_equal,all_equal,16,orig,1,1.5,1.5,0.0,1.5,1.6,0.30,1.000
k18_all_equal,all_equal,16,scalar,1,1.4,1.3,0.0,1.3,1.5,0.27,0.914
k18_all_equal,all_equal,16,chunked,1,1.4,1.3,0.1,1.3,1.6,0.29,0.964
k18_all_equal,all_equal,16,sse2,1,1.5,1.4,0.0,1.4,1.6,0.29,0.995
k18_all_equal,all_equal,16,avx2,1,1.3,1.3,0.0,1.3,1.4,0.26,0.885
k18_all_equal,all_equal,16,multi,1,1.3,1.3,0.0,1.3,1.7,0.26,0.886
k18_all_equal,all_equal,256,orig,1,13.2,13.1,0.1,13.1,14.7,0.16,1.000
k18_all_equal,all_equal,256,scalar,1,3.2,3.1,0.0,3.1,3.4,0.04,0.243
k18_all_equal,all_equal,256,chunked,1,1.7,1.6,0.1,1.6,2.2,0.02,0.129
k18_all_equal,all_equal,256,sse2,1,1.4,1.4,0.0,1.4,1.5,0.02,0.108
k18_all_equal,all_equal,256,avx2,1,1.4,1.3,0.0,1.3,1.5,0.02,0.109
k18_all_equal,all_equal,256,multi,1,1.4,1.4,0.0,1.4,1.5,0.02,0.105
k18_all_equal,all_equal,4096,orig,1,209.5,208.7,0.4,208.7,223.2,0.16,1.000
k18_all_equal,all_equal,4096,scalar,1,406.4,404.6,0.7,404.6,408.7,0.32,1.940
k18_all_equal,all_equal,4096,chunked,1,74.4,74.3,0.1,74.3,75.1,0.06,0.355
k18_all_equal,all_equal,4096,sse2,1,33.8,33.7,0.1,33.7,34.1,0.03,0.161
k18_all_equal,all_equal,4096,avx2,1,21.6,21.6,0.0,21.6,22.0,0.02,0.103
k18_all_equal,all_equal,4096,multi,1,23.7,23.6,0.0,23.6,24.0,0.02,0.113
k18_all_equal,all_equal,65536,orig,1,3331.8,3326.5,3.3,3326.5,3349.4,0.16,1.000
k18_all_equal,all_equal,65536,scalar,1,12391.5,12354.3,21.0,12354.3,12437.0,0.61,3.719
k18_all_equal,all_equal,65536,chunked,1,2103.8,2097.1,3.9,2097.1,2171.4,0.10,0.631
k18_all_equal,all_equal,65536,sse2,1,837.4,833.7,2.0,833.7,855.0,0.04,0.251
k18_all_equal,all_equal,65536,avx2,1,601.5,599.4,0.9,599.4,623.5,0.03,0.181
k18_all_equal,all_equal,65536,multi,1,602.0,599.8,0.8,599.8,609.2,0.03,0.181
k18_all_equal,mismatch_first,16,orig,1,1.5,1.5,0.0,1.5,1.5,0.30,1.000
k18_all_equal,mismatch_first,16,scalar,1,4.1,4.1,0.0,4.1,4.4,0.82,2.760
k18_all_equal,mismatch_first,16,chunked,1,3.6,3.4,0.0,3.4,3.6,0.72,2.416
k18_all_equal,mismatch_first,16,sse2,1,1.3,1.3,0.0,1.3,1.4,0.27,0.906
k18_all_equal,mismatch_first,16,avx2,1,1.4,1.4,0.0,1.4,1.5,0.28,0.949
k18_all_equal,mismatch_first,16,multi,1,4.1,4.1,0.0,4.1,4.3,0.82,2.763
