kernel,distribution,size_bytes,candidate,correct,median_ns,min_ns,mad_ns,ci_lo_ns,ci_hi_ns,cycles_per_elem,speedup_vs_orig
k18_all_equal,all_equal,16,orig,1,2.2,2.2,0.0,2.2,2.6,0.45,1.000
k18_all_equal,all_equal,16,scalar,1,1.4,1.3,0.0,1.3,1.5,0.28,0.616
k18_all_equal,all_equal,16,chunked,1,1.3,1.3,0.0,1.3,1.5,0.27,0.599
k18_all_equal,all_equal,16,sse2,1,1.3,1.3,0.0,1.3,1.4,0.26,0.580
k18_all_equal,all_equal,16,avx2,1,1.4,1.4,0.0,1.4,1.4,0.27,0.603
k18_all_equal,all_equal,16,multi,1,1.3,1.3,0.0,1.3,1.4,0.26,0.573
k18_all_equal,all_equal,17,orig,1,2.2,2.2,0.0,2.2,2.4,0.41,1.000
k18_all_equal,all_equal,17,scalar,1,1.4,1.3,0.0,1.3,1.5,0.26,0.633
k18_all_equal,all_equal,17,chunked,1,1.4,1.3,0.0,1.3,1.4,0.25,0.623
k18_all_equal,all_equal,17,sse2,1,1.3,1.3,0.0,1.3,1.3,0.24,0.597
k18_all_equal,all_equal,17,avx2,1,1.4,1.4,0.0,1.4,1.4,0.26,0.628
k18_all_equal,all_equal,17,multi,1,1.4,1.3,0.0,1.3,1.4,0.26,0.629
k18_all_equal,all_equal,31,orig,1,4.5,4.4,0.0,4.4,4.6,0.46,1.000
k18_all_equal,all_equal,31,scalar,1,1.4,1.3,0.0,1.3,1.5,0.15,0.316
k18_all_equal,all_equal,31,chunked,1,1.4,1.3,0.0,1.3,1.4,0.14,0.307
k18_all_equal,all_equal,31,sse2,1,1.3,1.3,0.0,1.3,1.3,0.14,0.296
k18_all_equal,all_equal,31,avx2,1,1.4,1.4,0.0,1.4,1.5,0.15,0.319
k18_all_equal,all_equal,31,multi,1,1.4,1.3,0.0,1.3,1.4,0.14,0.305
k18_all_equal,all_equal,32,orig,1,2.4,2.3,0.0,2.3,2.6,0.24,1.000
k18_all_equal,all_equal,32,scalar,1,1.3,1.3,0.0,1.3,1.4,0.13,0.546
k18_all_equal,all_equal,32,chunked,1,1.4,1.3,0.0,1.3,1.5,0.14,0.571
k18_all_equal,all_equal,32,sse2,1,1.3,1.3,0.0,1.3,1.5,0.13,0.536
k18_all_equal,all_equal,32,avx2,1,1.3,1.3,0.0,1.3,1.4,0.13,0.552
k18_all_equal,all_equal,32,multi,1,1.3,1.2,0.0,1.2,1.5,0.13,0.535
k18_all_equal,all_equal,33,orig,1,2.4,2.4,0.0,2.4,2.5,0.24,1.000
k18_all_equal,all_equal,33,scalar,1,1.3,1.3,0.0,1.3,1.4,0.13,0.542
k18_all_equal,all_equal,33,chunked,1,1.4,1.3,0.0,1.3,1.5,0.13,0.561
k18_all_equal,all_equal,33,sse2,1,1.3,1.3,0.0,1.3,1.4,0.13,0.530
k18_all_equal,all_equal,33,avx2,1,1.3,1.3,0.0,1.3,1.6,0.13,0.549
k18_all_equal,all_equal,33,multi,1,1.3,1.2,0.0,1.2,1.3,0.13,0.531
k18_all_equal,all_equal,63,orig,1,5.8,5.7,0.1,5.7,6.0,0.29,1.000
k18_all_equal,all_equal,63,scalar,1,1.4,1.4,0.0,1.4,1.4,0.07,0.247
k18_all_equal,all_equal,63,chunked,1,1.4,1.3,0.0,1.3,1.4,0.07,0.239
k18_all_equal,all_equal,63,sse2,1,1.3,1.3,0.0,1.3,1.4,0.07,0.231
k18_all_equal,all_equal,63,avx2,1,1.4,1.3,0.0,1.3,1.4,0.07,0.233
k18_all_equal,all_equal,63,multi,1,1.3,1.3,0.0,1.3,1.4,0.07,0.225
k18_all_equal,all_equal,64,orig,1,4.5,4.4,0.0,4.4,4.6,0.22,1.000
k18_all_equal,all_equal,64,scalar,1,1.4,1.4,0.0,1.4,1.6,0.07,0.322
k18_all_equal,all_equal,64,chunked,1,1.3,1.3,0.0,1.3,1.5,0.07,0.302
k18_all_equal,all_equal,64,sse2,1,1.3,1.3,0.0,1.3,1.5,0.06,0.291
k18_all_equal,all_equal,64,avx2,1,1.3,1.3,0.0,1.3,2.0,0.07,0.296
k18_all_equal,all_equal,64,multi,1,1.3,1.3,0.0,1.3,1.4,0.07,0.292
k18_all_equal,all_equal,65,orig,1,4.5,4.4,0.1,4.4,4.6,0.22,1.000
k18_all_equal,all_equal,65,scalar,1,1.4,1.4,0.0,1.4,1.5,0.07,0.321
k18_all_equal,all_equal,65,chunked,1,1.3,1.3,0.0,1.3,1.4,0.07,0.296
k18_all_equal,all_equal,65,sse2,1,1.3,1.3,0.0,1.3,1.3,0.06,0.290
k18_all_equal,all_equal,65,avx2,1,1.3,1.3,0.0,1.3,1.6,0.06,0.293
k18_all_equal,all_equal,65,multi,1,1.3,1.3,0.0,1.3,1.4,0.07,0.295
k18_all_equal,all_equal,256,orig,1,17.0,16.9,0.1,16.9,17.1,0.21,1.000
k18_all_equal,all_equal,256,scalar,1,2.8,2.8,0.0,2.8,3.0,0.04,0.166
k18_all_equal,all_equal,256,chunked,1,1.6,1.6,0.0,1.6,1.7,0.02,0.094
k18_all_equal,all_equal,256,sse2,1,1.6,1.4,0.0,1.4,32.6,0.02,0.093
k18_all_equal,all_equal,256,avx2,1,1.4,1.3,0.0,1.3,1.5,0.02,0.081
k18_all_equal,all_equal,256,multi,1,1.4,1.3,0.0,1.3,1.4,0.02,0.080
k18_all_equal,all_equal,4096,orig,1,296.0,268.9,14.9,268.9,320.2,0.23,1.000
k18_all_equal,all_equal,4096,scalar,1,278.2,277.7,0.5,277.7,280.6,0.22,0.940
k18_all_equal,all_equal,4096,chunked,1,56.2,56.0,0.0,56.0,57.2,0.04,0.190
k18_all_equal,all_equal,4096,sse2,1,36.6,36.3,0.1,36.3,37.5,0.03,0.124
k18_all_equal,all_equal,4096,avx2,1,22.3,22.3,0.0,22.3,22.5,0.02,0.075
k18_all_equal,all_equal,4096,multi,1,22.1,22.0,0.1,22.0,24.4,0.02,0.075
k18_all_equal,all_equal,65536,orig,1,4309.4,4283.5,24.5,4283.5,4524.1,0.21,1.000
k18_all_equal,all_equal,65536,scalar,1,8471.3,8330.7,121.6,8330.7,9274.6,0.41,1.966
k18_all_equal,all_equal,65536,chunked,1,1653.8,1567.2,83.2,1567.2,1781.9,0.08,0.384
k18_all_equal,all_equal,65536,sse2,1,857.5,854.7,1.6,854.7,863.8,0.04,0.199
k18_all_equal,all_equal,65536,avx2,1,581.2,578.4,2.7,578.4,662.1,0.03,0.135
k18_all_equal,all_equal,65536,multi,1,579.8,578.3,0.6,578.3,585.5,0.03,0.135
k18_all_equal,mismatch_first,16,orig,1,2.3,2.2,0.0,2.2,2.3,0.45,1.000
k18_all_equal,mismatch_first,16,scalar,1,4.5,4.5,0.0,4.5,4.6,0.89,1.985
k18_all_equal,mismatch_first,16,chunked,1,3.4,3.4,0.0,3.4,3.6,0.69,1.529
k18_all_equal,mismatch_first,16,sse2,1,1.3,1.3,0.0,1.3,1.4,0.27,0.593
k18_all_equal,mismatch_first,16,avx2,1,1.4,1.4,0.0,1.4,1.4,0.27,0.602
k18_all_equal,mismatch_first,16,multi,1,4.7,4.6,0.0,4.6,4.8,0.93,2.070
k18_all_equal,mismatch_first,17,orig,1,2.2,2.2,0.0,2.2,2.2,0.41,1.000
k18_all_equal,mismatch_first,17,scalar,1,4.6,4.6,0.0,4.6,4.7,0.87,2.140
k18_all_equal,mismatch_first,17,chunked,1,3.4,3.4,0.0,3.4,3.5,0.65,1.588
